"id","category","food_item","can_consume","reason","recommended_limit","nutritional_benefit","potential_risk","classification","image"
"49","Meat","Steak (well-done)","Yes","Safe when well-cooked","No limit","Iron, protein","None","Recommended","https://unsplash.com/photos/a-close-up-of-a-steak-on-a-plate-cdyZGJNax3Y"
"50","Meat","Turkey","Yes","Lean protein and rich in iron","No limit","Protein, iron","None","Recommended","https://unsplash.com/photos/chicken-roast-on-roasting-pan-GyV6SL_fKsI"
"51","Meat","Beef","Yes","Rich in protein and iron","No limit","Protein, iron","None","Recommended","https://unsplash.com/photos/a-couple-of-steaks-sitting-on-top-of-a-table-j-17JLHMIpk"
"52","Meat","Eggs","Yes","Rich in protein and choline","No limit","Protein, choline","None","Safe to Consume","https://unsplash.com/photos/five-broil-eggs-g8xdO1Q1kIg"
"53","Processed","Packaged Chips","No","High in salt, trans fats","Avoid entirely","None","High sodium, trans fats","Not Recommended","https://unsplash.com/photos/three-boxes-of-tortilla-chips-on-a-table-NzQS4jVv5zA"
"54","Processed","Instant Noodles","No","High in salt, MSG","Avoid entirely","None","High sodium, MSG","Not Recommended","https://unsplash.com/photos/white-ceramic-bowl-with-noodles-klAwNfxM9-g"
"55","Vegetables","Leafy Greens","Yes","Safe if washed properly","No limit","Folate, iron, calcium","Bacteria, pesticides","Recommended","https://unsplash.com/photos/a-pile-of-green-leafy-vegetables-sitting-on-top-of-a-table-yDpYrrOFQ5A"
"56","Vegetables","Spinach","Yes","Rich in iron and folate","No limit","Folate, iron","None","Recommended","https://unsplash.com/photos/green-leaves-4TY1uOJ5LG4"
"57","Vegetables","Broccoli","Yes","High in fiber and folate","No limit","Fiber, folate","None","Recommended","https://unsplash.com/photos/a-close-up-of-a-broccoli-plant-with-lots-of-green-leaves-4cEmT3AsoVc"
"58","Vegetables","Carrots","Yes","Rich in beta-carotene","No limit","Beta-carotene, fiber","None","Safe to Consume","https://unsplash.com/photos/closeup-photo-of-bunch-of-orange-carrots-yNB8niq1qCk"
"59","Vegetables","Raw Sprouts","No","Risk of bacterial contamination","Avoid entirely","None","Salmonella, E. coli","Not Recommended","https://unsplash.com/photos/fresh-fenugreek-sprouts-in-a-white-bowl-UOLk_uIDNGg"
"60","Vegetables","Sweet Potatoes","Yes","High in fiber and beta-carotene","No limit","Beta-carotene, fiber","None","Safe to Consume","https://unsplash.com/photos/a-close-up-of-a-purple-carrot-on-a-table-J_XFEsYkd_c"
"61","Vegetables","Celery","Yes","High in water content","No limit","Hydration, fiber","None","Safe to Consume","https://unsplash.com/photos/washing-vegetables-hands-in-pink-gloves-washing-celery-in-water-stream-in-sink-during-virus-epidemic-woman-cleaning-fresh-vegetables-preparing-for-cooking-meal-in-modern-kitchen-W824wUoLqYY"
"62","Vegetables","Bell Peppers","Yes","High in vitamin C","No limit","Vitamin C","None","Safe to Consume","https://unsplash.com/photos/a-stack-of-colorful-peppers-sitting-on-top-of-each-other--DVXXMTbVxY"
"63","Vegetables","Kale","Yes","Rich in iron, folate, and fiber","No limit","Iron, folate, fiber","None","Recommended","https://unsplash.com/photos/a-close-up-of-a-green-plant-with-leaves-Q1G6Aps6cBo"
